Time | ID | Traffic Light | Group | Vehicles
16:05:26 | 3 | Зеленый | 3 | 1
16:06:45 | 424 | Красный | 2 | 0
16:07:28 | 838 | Зеленый | 3 | 1
16:08:11 | 1261 | Зеленый | 2 | 2
16:08:11 | 1263 | Зеленый | 2 | 1
16:08:15 | 1370 | Зеленый | 3 | 1
16:11:41 | 2725 | Красный | 3 | 0
16:11:41 | 2727 | Красный | 3 | 0
16:13:14 | 3357 | Зеленый | 2 | 0
16:13:14 | 3359 | Зеленый | 2 | 0
16:16:43 | 5162 | Зеленый | 1 | 0
16:17:30 | 5617 | Зеленый | 1 | 1
16:20:07 | 6636 | Красный | 1 | 1
16:20:08 | 6643 | Красный | 2 | 1
16:21:04 | 6836 | Зеленый | 1 | 0
16:21:50 | 7316 | Зеленый | 1 | 0
16:25:37 | 8244 | Зеленый | 3 | 0
16:25:38 | 8240 | Зеленый | 3 | 0
16:25:39 | 7962 | Зеленый | 3 | 0
16:26:13 | 8527 | Зеленый | 1 | 1
16:28:35 | 9970 | Зеленый | 1 | 1
16:29:05 | 10142 | Красный | 2 | 1
16:29:08 | 10190 | Красный | 5 | 0
16:29:16 | 10255 | Красный | 4 | 1
16:29:16 | 10192 | Красный | 4 | 1
16:29:18 | 10287 | Красный | 5 | 1
16:29:19 | 10288 | Красный | 6 | 1
16:29:19 | 10290 | Красный | 5 | 0
16:29:20 | 10293 | Красный | 5 | 0
16:29:20 | 10299 | Красный | 6 | 0
16:30:04 | 10576 | Зеленый | 3 | 1
16:30:06 | 10571 | Зеленый | 4 | 1
16:30:06 | 10663 | Зеленый | 4 | 1
16:30:06 | 10662 | Зеленый | 5 | 1
16:30:06 | 10569 | Зеленый | 4 | 1
16:30:11 | 10691 | Зеленый | 4 | 1
16:30:47 | 10991 | Зеленый | 1 | 1
16:32:32 | 11635 | Зеленый | 2 | 1
16:32:33 | 11638 | Зеленый | 2 | 1
16:33:22 | 11872 | Красный | 5 | 1
16:33:22 | 11917 | Красный | 4 | 1
16:33:23 | 11925 | Красный | 4 | 1
16:33:23 | 11937 | Красный | 5 | 1
16:33:24 | 11940 | Красный | 3 | 1
